# 人工重写的 emoji 读法（第二轮）：手势姿态、奇幻角色、动物、天气植物、食物饮品。
# 标准：简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
#   1. 有公认中文叫法就用它，别改；2. 没有就用最能辨认的视觉特征造短名；
#   3. 不许重名；4. 简洁名不写含义；5. 含义一律写「常表示」，因为它依赖上下文。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、重名均已逐条校验。
2600 FE0F	太阳	太阳：金黄圆日向四周射出光芒。常表示晴天、白天
1FAB9	空鸟窝	空鸟窝：褐色树枝编的鸟窝，里面空着
1FABA	有蛋的鸟窝	有蛋的鸟窝：褐色鸟窝里放着三枚白蛋
1FABB	风信子	风信子：紫色小花密集成串，绿叶托底
1FABD	翅膀	翅膀：一只白色羽毛翅膀，单边
1FABE	枯树	枯树：光秃秃的褐色树干和枝杈，没有叶子
1FABF	鹅	鹅：白色大鹅侧面站着，橙色嘴和脚
1FAC8	毛怪	毛怪：浑身棕色长毛、直立行走的大个子怪物，就是传说中的大脚怪
1FACE	驼鹿	驼鹿：棕色驼鹿全身，头顶宽大的掌状角
1FACF	驴	驴：灰色驴全身，侧面站立，两只长耳朵
1FAD0	蓝莓	蓝莓：一小堆深蓝色的圆果
1FAD1	青椒	青椒：绿色灯笼形甜椒，顶部一截绿柄
1FAD2	橄榄	橄榄：绿色的椭圆小果，带一片叶子
1FAD3	大饼	大饼：圆形的薄烤饼，表面有焦斑
1FAD4	墨西哥粽	墨西哥粽：玉米叶包的长条食物，剥开露出黄馅
1FAD5	奶酪火锅	奶酪火锅：小锅里融化的黄色奶酪，插着两根长叉
1FAD6	茶壶	茶壶：白色瓷壶，带壶嘴和提把
1FAD7	倒水	倒水：玻璃杯侧倾，蓝色液体正往外倒
1FAD8	豆子	豆子：几颗红褐色的芸豆堆在一起
1FAD9	玻璃罐	玻璃罐：透明带盖的空储物罐
1FADA	生姜	生姜：一块黄褐色的姜，分出几个岔
1FADB	豌豆荚	豌豆荚：绿色豆荚裂开，露出一排圆豌豆
1FADC	萝卜	萝卜：上紫下白的圆萝卜，顶上带绿缨
